,VoltageP1,VoltageP2,TimeIndex
173,0.0,1.085,1772668180.2298775
174,0.0,1.09,1772668180.330132
175,0.0,1.085,1772668180.4313958
176,0.0,1.085,1772668180.5323548
177,0.0,140.5965,1772668180.6350746
178,141.2315,1.085,1772668180.7415242
179,60.5525,0.0,1772668180.8447847
180,143.265,1.09,1772668180.94681
181,0.0,1.09,1772668181.0488367
182,0.0,1.085,1772668181.151396
183,0.0,1.085,1772668181.2536345
184,0.0,1.095,1772668181.3561893
185,0.0,1.085,1772668181.4582078
186,0.0,1.08,1772668181.5596306
187,0.0,0.45949999999999996,1772668181.6637416
188,54.428,1.051,1772668181.7654731
189,0.0,1.08,1772668181.8670502
190,0.0,1.0755000000000001,1772668181.9684584
191,0.0,1.08,1772668182.069161
192,0.0,59.301,1772668182.175307
193,0.0,1.0655000000000001,1772668182.2768173
194,0.0,1.0315,1772668182.3803675
195,0.0,140.55249999999998,1772668182.4830945
196,0.0,1.0605,1772668182.5847857
197,0.0,1.0555,1772668182.6863186
198,0.0,1.0605,1772668182.7892973
199,0.6255,1.0655000000000001,1772668182.8936725
200,0.0,1.051,1772668182.9940598
201,0.0,1.046,1772668183.0966876
202,0.0,1.051,1772668183.199185
203,0.0,1.0555,1772668183.3011339
204,0.0,1.051,1772668183.4043171
205,143.265,1.0655000000000001,1772668183.5061722
206,0.0,1.0555,1772668183.6083214
207,0.0,1.051,1772668183.7103796
208,0.0,0.43499999999999994,1772668183.8135557
209,143.265,1.08,1772668183.9160857
210,0.0,1.0605,1772668184.017681
211,0.0,1.0555,1772668184.120804
212,0.0,1.041,1772668184.223268
213,0.0,140.1415,1772668184.325835
214,0.0,1.0605,1772668184.426837
215,0.0,1.046,1772668184.5299993
216,0.0,1.051,1772668184.6327465
217,56.798500000000004,1.0605,1772668184.7363908
218,0.0,1.051,1772668184.8370278
219,0.0,1.0555,1772668184.9400668
220,143.265,1.0555,1772668185.042453
221,0.0,1.046,1772668185.144845
222,0.0,140.55249999999998,1772668185.2474265
223,0.0,1.0605,1772668185.3492424
224,0.0,1.0555,1772668185.4514124
225,0.0,1.051,1772668185.5548265
226,0.0,1.046,1772668185.6564155
227,0.0,1.0755000000000001,1772668185.7583876
228,143.265,1.051,1772668185.861744
229,0.0,1.036,1772668185.964161
230,0.0,1.0555,1772668186.066386
231,0.0,1.051,1772668186.1686962
232,0.0,1.0705,1772668186.2712698
233,55.054,1.0555,1772668186.373541
234,143.265,1.051,1772668186.4758167
235,0.054000000000000006,1.046,1772668186.5781744
236,0.0,1.046,1772668186.68102
237,0.0,1.095,1772668186.7837307
238,0.0,1.051,1772668186.8854525
239,143.265,1.0655000000000001,1772668186.9879906
240,0.083,1.0655000000000001,1772668187.0896032
241,0.0,1.0555,1772668187.1926255
242,0.0,1.095,1772668187.2949834
243,0.0,1.041,1772668187.3972256
244,0.0,1.051,1772668187.5001075
245,0.0,0.6305,1772668187.6045177
246,143.265,1.0555,1772668187.709163
247,0.0,1.0555,1772668187.811309
248,0.0,1.051,1772668187.9135177
249,0.0,1.051,1772668188.0157342
250,0.0,1.095,1772668188.1196651
251,0.0,1.046,1772668188.2202606
252,0.0,1.046,1772668188.323415
253,0.0,53.5925,1772668188.4254162
254,140.137,1.046,1772668188.529091
255,143.265,1.046,1772668188.6302667
256,0.0,1.0315,1772668188.732853
257,0.0,1.0315,1772668188.8351498
258,0.0,140.55249999999998,1772668188.9366975
259,0.0,1.0555,1772668189.0392668
260,0.0,1.0555,1772668189.1421697
261,0.0,1.046,1772668189.2438579
262,50.6745,1.0215,1772668189.3468976
263,0.0,1.0215,1772668189.4493318
264,0.0,1.036,1772668189.5514348
265,0.0,1.046,1772668189.6542258
266,0.0,143.27,1772668189.7575128
267,0.6255,1.0315,1772668189.8588655
268,0.0,1.0265,1772668189.9607148
269,143.265,1.0215,1772668190.0636706
270,0.0,1.0215,1772668190.1659071
271,143.265,0.0,1772668190.2692041
272,0.0,1.0215,1772668190.370125
273,51.3,1.0265,1772668190.4732697
274,0.0,1.0165,1772668190.5755718
275,0.0,140.523,1772668190.67822
276,0.0,1.007,1772668190.7800007
277,0.0,1.007,1772668190.8826308
278,0.0,1.0115,1772668190.9850905
279,0.0,0.0,1772668191.0881717
280,0.0,1.0115,1772668191.1901882
281,143.265,1.0215,1772668191.2924206
282,0.0,1.0115,1772668191.3946846
283,24.2425,1.002,1772668191.5014522
284,0.0585,1.002,1772668191.603089
285,0.342,1.0165,1772668191.7064404
286,0.6695,140.1415,1772668191.8082392
287,0.963,38.167,1772668191.9112134
288,1.3050000000000002,1.0115,1772668192.0134318
289,1.6569999999999998,1.0165,1772668192.1158464
290,1.8575,1.007,1772668192.2170715
291,1.8525,1.002,1772668192.3204765
292,1.8375,1.0115,1772668192.424256
293,1.872,1.0115,1772668192.5249565
294,1.823,1.0115,1772668192.627649
295,1.701,1.0115,1772668192.7304456
296,1.6325,1.0115,1772668192.8327227
297,143.607,1.007,1772668192.9349976
298,1.574,1.007,1772668193.036345
299,1.476,1.007,1772668193.1389704
300,1.4515,23.778000000000002,1772668193.2422705
301,1.4124999999999999,1.0115,1772668193.344078
302,143.32850000000002,1.0115,1772668193.446962
303,1.2415,1.0115,1772668193.54793
304,1.1435,1.007,1772668193.648661
305,1.1584999999999999,1.007,1772668193.7495906
306,1.0655000000000001,1.007,1772668193.8522477
307,1.0755000000000001,1.007,1772668193.953753
308,0.9775,140.1415,1772668194.0575225
309,0.9189999999999999,1.0115,1772668194.1588416
310,0.8210000000000001,1.0115,1772668194.2625482
311,0.7965,1.0115,1772668194.3645513
312,143.783,1.007,1772668194.46717
313,0.4055,1.007,1772668194.5690875
